City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
75,sal rei,75.0,CV,1595894778,74.0,16.18,-22.92,78.8,4.1
76,pytalovo,83.0,RU,1595894778,81.0,57.07,27.91,61.44800000000002,1.89
77,tigil,1.0,RU,1595894778,55.0,57.8,158.67,66.66800000000009,5.0
78,vaini,40.0,TO,1595894533,83.0,-21.2,-175.2,73.4,5.1
79,kaduy,0.0,RU,1595894778,95.0,59.2,37.15,57.43399999999999,1.79
80,saldanha,0.0,ZA,1595894648,65.0,-33.01,17.94,46.4,1.0
81,lukiv,81.0,UA,1595894778,97.0,51.05,25.4,64.99400000000007,1.16
82,jucurutu,48.0,BR,1595894778,66.0,-6.03,-37.02,75.34400000000008,6.84
83,arraial do cabo,20.0,BR,1595894645,83.0,-22.97,-42.03,71.6,5.1
84,dikson,46.0,RU,1595894644,82.0,73.51,80.55,39.95600000000003,5.99
85,port alfred,0.0,ZA,1595894647,80.0,-33.59,26.89,54.518000000000086,4.46
86,novoselytsya,91.0,UA,1595894778,80.0,48.22,26.27,62.99600000000005,2.49
87,karratha,78.0,AU,1595894462,29.0,-20.74,116.85,65.76800000000009,6.08
88,iqaluit,75.0,CA,1595894529,76.0,63.75,-68.51,55.4,1.0
89,portland,40.0,US,1595894584,19.0,45.52,-122.68,100.00400000000005,3.6
90,kargat,70.0,RU,1595894779,88.0,55.2,80.28,54.21200000000006,1.03
91,lebu,7.0,CL,1595894516,73.0,-37.62,-73.65,45.860000000000085,5.8
92,bollnas,81.0,SE,1595894779,98.0,61.35,16.39,48.00200000000008,1.03
93,owando,19.0,CG,1595894779,78.0,-0.48,15.9,73.59800000000003,1.09
94,carauari,71.0,BR,1595894644,71.0,-4.88,-66.9,77.57600000000009,0.27
95,olga,100.0,RU,1595894779,81.0,43.74,135.29,67.69400000000007,2.28
96,tautira,40.0,PF,1595894779,74.0,-17.73,-149.15,82.4,4.1
97,anadyr,20.0,RU,1595894686,64.0,64.75,177.48,69.8,5.0
98,busselton,8.0,AU,1595894515,98.0,-33.65,115.33,48.00200000000008,3.9
99,forio,0.0,IT,1595894693,64.0,40.73,13.86,78.99800000000002,0.45
100,hede,100.0,CN,1595894779,89.0,33.77,120.25,77.41400000000003,2.17
101,antibes,0.0,FR,1595894780,78.0,43.56,7.13,75.2,2.6
102,jatai,0.0,BR,1595894780,41.0,-17.88,-51.71,68.09000000000002,1.96
103,barrow,90.0,US,1595894646,80.0,71.29,-156.79,39.2,11.3
104,uddevalla,86.0,SE,1595894719,93.0,58.35,11.94,57.00200000000008,2.88
105,hobart,75.0,AU,1595894648,93.0,-42.88,147.33,48.00200000000008,4.1
106,belyy yar,20.0,RU,1595894780,100.0,53.6,91.39,55.4,1.0
107,kharp,89.0,RU,1595894780,69.0,66.8,65.81,50.21600000000001,1.77
108,fortuna,3.0,US,1595894662,67.0,40.6,-124.16,69.00800000000001,0.89
109,los llanos de aridane,90.0,ES,1595894692,73.0,28.66,-17.92,73.4,8.2
110,sampit,69.0,ID,1595894781,91.0,-2.53,112.95,76.85600000000002,1.75
111,castro,100.0,BR,1595894653,74.0,-24.79,-50.01,60.11600000000001,1.64
112,rocha,60.0,UY,1595894662,74.0,-34.48,-54.33,46.49000000000002,3.71
